# Time (s),Altitude (m),Position East of launch (m),Position North of launch (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Lateral velocity (m/s),Lateral acceleration (m/s²),Angle of attack (°),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s)
11.757,4890.62,435.289,-438.927,324.976,-21.064,46.118,2.667,0.172,9.594e-8,0.004,5.925e-5
11.807,4906.843,436.905,-440.568,323.923,-21.054,46.001,1.989,0.03,9.934e-8,0.008,1.592e-4
11.857,4923.013,438.516,-442.206,322.871,-21.054,45.92,1.279,0.115,9.909e-8,-0.007,2.814e-5
11.907,4939.13,440.126,-443.842,321.819,-21.01,45.868,0.875,0.172,1.007e-7,-0.001,1.329e-5
11.957,4955.194,441.733,-445.476,320.771,-20.884,45.824,0.986,0.172,1.051e-7,0.005,2.352e-5
12.007,4971.207,443.339,-447.108,319.731,-20.695,45.764,1.483,0.051,1.036e-7,0.009,1.005e-4
12.057,4987.168,444.942,-448.738,318.703,-20.439,45.664,2.481,0.115,1.029e-7,-0.008,6.474e-5
12.107,5003.077,446.541,-450.363,317.686,-20.267,45.524,2.966,0.229,1.06e-7,6.086e-6,4.961e-5
12.157,5018.936,448.134,-451.983,316.674,-20.24,45.387,2.469,0.172,1.037e-7,0.007,7.482e-5
12.207,5034.745,449.724,-453.599,315.661,-20.252,45.281,1.766,0.013,1.044e-7,0.01,6.366e-4
12.257,5050.503,451.31,-455.212,314.649,-20.224,45.201,1.383,0.057,1.036e-7,-0.01,6.365e-5
12.307,5066.21,452.893,-456.823,313.638,-20.23,45.15,0.765,0.172,1.028e-7,-0.005,4.412e-6
12.357,5081.866,454.476,-458.432,312.628,-20.137,45.114,0.757,0.172,1.081e-7,0.002,-9.543e-7
12.407,5097.473,456.056,-460.039,311.626,-19.956,45.065,1.273,0.057,1.075e-7,0.007,4.375e-5
12.457,5113.029,457.635,-461.645,310.633,-19.745,44.983,1.996,0.057,1.077e-7,-0.007,9.164e-5
12.507,5128.536,459.21,-463.247,309.65,-19.583,44.871,2.442,0.172,1.102e-7,-0.003,4.531e-5
12.557,5143.994,460.78,-464.844,308.674,-19.464,44.741,2.637,0.229,1.117e-7,0.004,3.592e-5
12.607,5159.404,462.346,-466.437,307.701,-19.488,44.626,1.894,0.057,1.083e-7,0.009,6.737e-5
12.657,5174.764,463.909,-468.027,306.726,-19.514,44.551,1.187,0.115,1.083e-7,-0.008,1.293e-5
12.707,5190.076,465.47,-469.615,305.751,-19.46,44.497,1.008,0.115,1.099e-7,-0.004,-1.857e-7
12.757,5205.339,467.028,-471.201,304.78,-19.358,44.445,1.119,0.115,1.1e-7,-1.592e-4,1.105e-5
12.807,5220.554,468.585,-472.785,303.816,-19.241,44.383,1.334,0.056,1.094e-7,0.002,2.279e-5
12.857,5235.721,470.139,-474.366,302.856,-19.135,44.315,1.487,0.019,1.096e-7,0.004,1.119e-4
12.907,5250.84,471.691,-475.945,301.903,-18.978,44.226,1.988,0.115,1.096e-7,-0.002,5.411e-5
12.957,5265.912,473.239,-477.521,300.956,-18.914,44.128,1.894,0.057,1.102e-7,3.183e-4,5.508e-5
13.007,5280.936,474.783,-479.093,300.012,-18.858,44.036,1.776,0.054,1.092e-7,0.003,7.601e-5
13.057,5295.913,476.325,-480.662,299.07,-18.832,43.955,1.468,0.013,1.093e-7,-0.003,1.592e-4
13.107,5310.843,477.864,-482.229,298.129,-18.775,43.885,1.369,0.034,1.09e-7,-0.002,5.107e-5
13.157,5325.726,479.4,-483.793,297.193,-18.707,43.816,1.341,0.04,1.087e-7,-0.001,2.209e-5
13.207,5340.562,480.934,-485.355,296.258,-18.673,43.757,1.088,0.115,1.084e-7,9.549e-4,1.88e-5
13.257,5355.352,482.466,-486.914,295.327,-18.551,43.695,1.389,0.023,1.084e-7,0.003,7.913e-5
13.307,5370.095,483.996,-488.472,294.402,-18.445,43.62,1.596,0.03,1.083e-7,-0.003,9.218e-5
13.357,5384.792,485.523,-490.027,293.482,-18.358,43.539,1.688,0.056,1.082e-7,-0.001,5.274e-5
13.407,5399.443,487.047,-491.578,292.567,-18.252,43.447,1.922,0.115,1.098e-7,0.001,4.816e-5
13.457,5414.049,488.567,-493.127,291.656,-18.2,43.353,1.818,0.115,1.103e-7,0.004,5.755e-5
13.507,5428.609,490.084,-494.672,290.746,-18.193,43.271,1.437,5.496e-4,1.095e-7,-0.001,0.005
13.557,5443.123,491.599,-496.214,289.837,-18.174,43.207,1.15,0.057,1.095e-7,-0.005,1.402e-5
13.607,5457.592,493.111,-497.755,288.929,-18.14,43.155,0.952,0.115,1.092e-7,-0.002,6.005e-7
13.657,5472.016,494.622,-499.294,288.023,-18.082,43.111,0.889,0.115,1.087e-7,0.002,-1.02e-5
13.707,5486.395,496.131,-500.831,287.122,-17.949,43.057,1.284,0.031,1.082e-7,0.004,3.363e-5
13.757,5500.729,497.638,-502.366,286.229,-17.783,42.979,1.758,0.115,1.082e-7,-0.003,4.194e-5
13.807,5515.018,499.142,-503.899,285.342,-17.698,42.894,1.63,0.057,1.076e-7,-7.958e-4,3.514e-5
13.857,5529.263,500.643,-505.428,284.459,-17.612,42.815,1.544,0.051,1.075e-7,6.366e-4,3.772e-5
13.907,5543.464,502.141,-506.954,283.581,-17.523,42.738,1.513,0.046,1.077e-7,0.002,4.534e-5
13.957,5557.621,503.636,-508.478,282.706,-17.471,42.669,1.251,0.019,1.079e-7,-0.002,3.758e-5
14.007,5571.735,505.129,-510,281.834,-17.398,42.61,1.141,0.045,1.082e-7,-0.002,2.593e-6
14.057,5585.805,506.62,-511.52,280.967,-17.315,42.554,1.105,0.052,1.077e-7,-3.183e-4,-1.475e-6
14.107,5599.831,508.11,-513.037,280.103,-17.217,42.497,1.167,0.032,1.074e-7,7.958e-4,1.04e-5
14.157,5613.815,509.597,-514.553,279.245,-17.099,42.435,1.37,0.027,1.072e-7,-9.549e-4,4.458e-5
14.207,5627.756,511.081,-516.066,278.394,-16.965,42.357,1.708,0.115,1.065e-7,9.549e-4,2.761e-5
14.257,5641.654,512.563,-517.577,277.548,-16.881,42.269,1.734,0.115,1.051e-7,0.004,3.78e-5
14.307,5655.511,514.041,-519.084,276.704,-16.895,42.197,1.148,0.027,1.056e-7,-0.006,-9.877e-6
14.357,5669.325,515.518,-520.589,275.86,-16.853,42.146,0.938,0.057,1.058e-7,-0.004,-1.353e-5
14.407,5683.097,516.993,-522.093,275.018,-16.798,42.102,0.813,0.115,1.052e-7,-0.002,-1.639e-5
14.457,5696.827,518.466,-523.595,274.18,-16.727,42.063,0.782,0.115,1.057e-7,0.001,-2.015e-5
14.507,5710.515,519.938,-525.096,273.346,-16.636,42.022,0.862,0.115,1.06e-7,0.004,-8.558e-6
14.557,5724.161,521.408,-526.596,272.517,-16.529,41.976,1.035,0.042,1.067e-7,0.006,3.611e-5
14.607,5737.767,522.876,-528.093,271.694,-16.38,41.912,1.501,0.115,1.068e-7,-0.005,3.341e-5
14.657,5751.331,524.342,-529.588,270.878,-16.255,41.828,1.844,0.229,1.078e-7,-0.002,1.961e-5
14.707,5764.855,525.805,-531.08,270.068,-16.173,41.732,1.941,0.229,1.095e-7,0.004,2.437e-5
14.757,5778.338,527.264,-532.568,269.26,-16.171,41.644,1.532,0.115,1.096e-7,0.008,2.193e-5
14.807,5791.781,528.72,-534.054,268.45,-16.204,41.582,0.944,0.057,1.092e-7,-0.008,-3.907e-5
14.857,5805.183,530.175,-535.538,267.64,-16.202,41.544,0.592,0.172,1.074e-7,-0.006,-2.118e-5
14.907,5818.544,531.628,-537.021,266.83,-16.198,41.524,0.243,0.286,1.077e-7,-0.001,-2.667e-5
14.957,5831.866,533.082,-538.504,266.021,-16.144,41.516,0.164,0.286,1.076e-7,0.005,-3.38e-5
15.007,5845.147,534.534,-539.986,265.217,-16.004,41.499,0.586,0.172,1.076e-7,0.01,-2.696e-5
15.057,5858.388,535.986,-541.467,264.422,-15.801,41.448,1.427,0.115,1.078e-7,-0.011,-1.727e-6
15.107,5871.589,537.435,-542.946,263.636,-15.643,41.36,2.035,0.286,1.069e-7,-0.006,1.307e-5
15.157,5884.751,538.88,-544.421,262.856,-15.573,41.256,2.102,0.344,1.071e-7,7.958e-4,1.956e-5
15.207,5897.875,540.322,-545.892,262.078,-15.538,41.153,1.957,0.286,1.068e-7,0.007,1.915e-5
15.257,5910.959,541.761,-547.361,261.301,-15.552,41.065,1.533,0.172,1.068e-7,0.012,3.328e-5
15.307,5924.005,543.196,-548.826,260.523,-15.598,41.002,0.943,0.034,1.072e-7,-0.014,6.35e-5
15.357,5937.011,544.63,-550.29,259.741,-15.669,40.974,0.239,0.286,1.066e-7,-0.01,-1.418e-5
15.407,5949.979,546.064,-551.753,258.958,-15.628,40.964,0.2,0.286,1.061e-7,-0.005,-7.179e-6
15.457,5962.907,547.497,-553.216,258.178,-15.548,40.951,0.357,0.229,1.054e-7,3.183e-4,-4.429e-6
15.507,5975.797,548.929,-554.679,257.404,-15.439,40.927,0.662,0.115,1.051e-7,0.004,8.987e-6
15.557,5988.648,550.36,-556.14,256.635,-15.318,40.883,1.04,0.004,1.053e-7,-0.005,6.366e-4
15.607,6001.46,551.79,-557.599,255.871,-15.248,40.83,1.118,0.037,1.052e-7,-0.005,1.089e-4
15.657,6014.235,553.217,-559.057,255.111,-15.153,40.767,1.367,0.115,1.054e-7,-0.003,4.693e-5
15.707,6026.971,554.642,-560.512,254.355,-15.085,40.697,1.462,0.172,1.068e-7,-4.775e-4,4.208e-5
15.757,6039.67,556.064,-561.964,253.603,-14.988,40.615,1.763,0.286,1.08e-7,0.004,4.958e-5
15.807,6052.332,557.484,-563.414,252.855,-14.962,40.529,1.631,0.229,1.082e-7,0.009,6.092e-5
15.857,6064.956,558.9,-564.861,252.106,-14.97,40.454,1.322,0.115,1.096e-7,0.012,1.102e-4
15.907,6077.542,560.314,-566.305,251.357,-15.024,40.402,0.768,0.057,1.097e-7,-0.012,9.546e-5
15.957,6090.091,561.727,-567.748,250.604,-15.059,40.375,0.345,0.229,1.089e-7,-0.009,1.609e-5
16.007,6102.603,563.138,-569.19,249.851,-15.072,40.366,0.046,0.344,1.096e-7,-0.004,-3.081e-6
16.057,6115.077,564.55,-570.633,249.097,-15.059,40.371,0.149,0.401,1.06e-7,0.003,-2.898e-6
16.107,6127.513,565.962,-572.075,248.347,-14.925,40.368,0.3,0.229,1.057e-7,0.009,6.029e-6
16.157,6139.911,567.374,-573.517,247.605,-14.765,40.338,0.896,0.023,1.06e-7,0.011,3.183e-4
16.207,6152.273,568.784,-574.958,246.87,-14.658,40.285,1.214,0.115,1.056e-7,-0.011,8.367e-5
16.257,6164.598,570.191,-576.396,246.14,-14.54,40.213,1.627,0.286,1.07e-7,-0.007,4.394e-5
16.307,6176.887,571.596,-577.832,245.415,-14.48,40.129,1.708,0.286,1.054e-7,-0.003,3.675e-5
16.357,6189.14,572.998,-579.264,244.692,-14.438,40.042,1.704,0.286,1.06e-7,0.003,3.392e-5
16.407,6201.357,574.397,-580.694,243.969,-14.462,39.967,1.306,0.172,1.065e-7,0.007,3.934e-5
16.457,6213.537,575.793,-582.121,243.246,-14.458,39.907,1.104,0.057,1.055e-7,0.009,6.24e-5
16.507,6225.681,577.187,-583.547,242.524,-14.455,39.856,0.911,0.005,1.055e-7,0.01,7.958e-4
16.557,6237.789,578.58,-584.971,241.8,-14.49,39.821,0.507,0.172,1.058e-7,-0.008,-2.279e-7
16.607,6249.861,579.972,-586.394,241.076,-14.486,39.801,0.33,0.229,1.071e-7,-0.005,-7.959e-6
16.657,6261.897,581.364,-587.816,240.351,-14.477,39.789,0.166,0.286,1.082e-7,-9.549e-4,-9.438e-6
16.707,6273.896,582.755,-589.238,239.628,-14.438,39.782,0.146,0.286,1.081e-7,0.004,-1.012e-5
16.757,6285.86,584.145,-590.66,238.909,-14.332,39.767,0.488,0.172,1.075e-7,0.008,-1.489e-6
16.807,6297.787,585.535,-592.081,238.195,-14.206,39.731,0.947,0.037,1.077e-7,-0.009,1.085e-4
16.857,6309.679,586.923,-593.5,237.488,-14.09,39.672,1.377,0.229,1.078e-7,-0.007,4.423e-5
16.907,6321.536,588.309,-594.917,236.785,-14.031,39.6,1.49,0.286,1.085e-7,-0.003,4.296e-5
16.957,6333.358,589.692,-596.331,236.085,-13.989,39.524,1.512,0.286,1.087e-7,0.002,4.48e-5
17.007,6345.145,591.072,-597.743,235.386,-13.984,39.453,1.328,0.229,1.079e-7,0.006,5.192e-5
17.057,6356.897,592.45,-599.152,234.687,-13.976,39.39,1.171,0.172,1.079e-7,0.008,6.497e-5
17.107,6368.613,593.826,-600.56,233.987,-14.012,39.341,0.78,0.02,1.081e-7,-0.009,3.183e-4
17.157,6380.295,595.2,-601.966,233.285,-14.061,39.314,0.332,0.229,1.079e-7,-0.008,2.962e-7
17.207,6391.942,596.574,-603.371,232.582,-14.049,39.3,0.222,0.286,1.066e-7,-0.004,-7.137e-6
17.257,6403.553,597.947,-604.776,231.88,-14.056,39.296,0.012,0.344,1.081e-7,6.366e-4,-1.05e-5
17.307,6415.13,599.321,-606.181,231.178,-14.009,39.295,0.043,0.344,1.077e-7,0.006,-9.51e-6
17.357,6426.671,600.694,-607.586,230.479,-13.938,39.29,0.205,0.286,1.069e-7,0.01,2.252e-7
17.407,6438.178,602.067,-608.991,229.786,-13.796,39.267,0.768,0.005,1.069e-7,0.012,0.001
17.457,6449.65,603.438,-610.394,229.1,-13.643,39.211,1.435,0.286,1.075e-7,-0.01,5.344e-5
17.507,6461.088,604.807,-611.795,228.421,-13.522,39.125,1.957,0.573,1.097e-7,-0.004,4.479e-5
17.557,6472.492,606.173,-613.192,227.746,-13.491,39.026,1.943,0.573,1.128e-7,0.004,4.475e-5
17.607,6483.863,607.535,-614.586,227.071,-13.503,38.935,1.681,0.458,1.106e-7,0.011,5.286e-5
17.657,6495.199,608.894,-615.977,226.395,-13.539,38.86,1.293,0.229,1.124e-7,0.015,7.25e-5
17.707,6506.502,610.251,-617.366,225.717,-13.58,38.805,0.912,0.057,1.13e-7,0.017,1.592e-4
17.757,6517.771,611.606,-618.753,225.037,-13.642,38.77,0.449,0.172,1.133e-7,-0.017,3.158e-5
17.807,6529.006,612.96,-620.14,224.352,-13.751,38.766,0.232,0.458,1.128e-7,-0.012,-3.548e-6
17.857,6540.206,614.315,-621.527,223.663,-13.776,38.785,0.486,0.63,1.132e-7,-0.005,-9.333e-6
17.907,6551.372,615.67,-622.914,222.975,-13.752,38.811,0.519,0.63,1.099e-7,0.003,-9.618e-6
17.957,6562.503,617.027,-624.303,222.289,-13.655,38.831,0.226,0.458,1.092e-7,0.01,-8.432e-6
18.007,6573.601,618.383,-625.692,221.61,-13.503,38.828,0.35,0.172,1.091e-7,0.015,1.881e-5
18.057,6584.665,619.739,-627.08,220.939,-13.332,38.793,1.065,0.172,1.094e-7,-0.015,8.973e-5
18.107,6595.695,621.093,-628.467,220.277,-13.186,38.723,1.703,0.516,1.094e-7,-0.011,5.171e-5
18.157,6606.692,622.445,-629.85,219.619,-13.115,38.631,1.938,0.63,1.081e-7,-0.004,5.015e-5
18.207,6617.657,623.792,-631.231,218.964,-13.098,38.534,1.866,0.573,1.105e-7,0.004,5.346e-5
18.257,6628.589,625.137,-632.608,218.309,-13.132,38.45,1.499,0.401,1.116e-7,0.01,6.121e-5
18.307,6639.488,626.479,-633.982,217.651,-13.174,38.384,1.116,0.229,1.108e-7,0.014,8.843e-5
18.357,6650.354,627.819,-635.354,216.991,-13.249,38.341,0.584,0.057,1.11e-7,-0.015,1.576e-4
18.407,6661.187,629.157,-636.726,216.327,-13.304,38.323,0.183,0.286,1.115e-7,-0.012,1.357e-5
18.457,6671.987,630.496,-638.097,215.661,-13.296,38.316,0.114,0.344,1.114e-7,-0.009,-3.126e-6
18.507,6682.753,631.834,-639.468,214.997,-13.277,38.311,0.088,0.344,1.104e-7,-0.005,-1.228e-5
18.557,6693.486,633.172,-640.838,214.333,-13.269,38.309,0.011,0.401,1.094e-7,-6.366e-4,-1.311e-5
18.607,6704.186,634.51,-642.209,213.67,-13.267,38.314,0.143,0.458,1.092e-7,0.005,-1.49e-5
18.657,6714.853,635.848,-643.58,213.009,-13.156,38.312,0.253,0.229,1.088e-7,0.009,-8.036e-8
18.707,6725.487,637.186,-644.951,212.354,-13.062,38.291,0.569,0.057,1.095e-7,0.011,7.299e-5
18.757,6736.089,638.522,-646.32,211.703,-12.967,38.255,0.905,0.115,1.094e-7,-0.01,8.551e-5
18.807,6746.658,639.857,-647.688,211.057,-12.862,38.199,1.315,0.344,1.101e-7,-0.007,5.36e-5
18.857,6757.195,641.19,-649.054,210.417,-12.772,38.123,1.666,0.573,1.087e-7,-0.002,4.954e-5
18.907,6767.699,642.52,-650.417,209.778,-12.764,38.042,1.564,0.516,1.102e-7,0.004,4.827e-5
18.957,6778.172,643.847,-651.777,209.14,-12.766,37.967,1.421,0.458,1.093e-7,0.009,5.644e-5
19.007,6788.613,645.171,-653.134,208.501,-12.796,37.903,1.132,0.286,1.094e-7,0.013,7.195e-5
19.057,6799.022,646.494,-654.49,207.86,-12.838,37.854,0.798,0.057,1.1e-7,0.015,1.592e-4
19.107,6809.399,647.815,-655.844,207.217,-12.916,37.827,0.307,0.229,1.099e-7,-0.014,1.811e-5
19.157,6819.744,649.135,-657.198,206.57,-12.953,37.819,0.039,0.401,1.094e-7,-0.011,-6.01e-6
19.207,6830.056,650.455,-658.552,205.922,-12.945,37.818,0.021,0.401,1.095e-7,-0.007,-1.244e-5
19.257,6840.336,651.776,-659.905,205.275,-12.951,37.823,0.15,0.516,1.1e-7,-0.002,-1.419e-5
19.307,6850.584,653.096,-661.259,204.628,-12.913,37.83,0.091,0.458,1.1e-7,0.003,-9.934e-6
19.357,6860.799,654.417,-662.613,203.984,-12.823,37.828,0.201,0.286,1.108e-7,0.007,1.083e-6
19.407,6870.982,655.737,-663.967,203.345,-12.73,37.81,0.515,0.115,1.105e-7,0.009,7.49e-5
19.457,6881.134,657.057,-665.32,202.712,-12.624,37.774,0.904,0.172,1.104e-7,-0.008,9.549e-5
19.507,6891.254,658.375,-666.671,202.082,-12.56,37.724,1.101,0.286,1.105e-7,-0.006,6.778e-5
19.557,6901.342,659.69,-668.021,201.456,-12.487,37.662,1.353,0.458,1.112e-7,-0.002,6.043e-5
19.607,6911.399,661.004,-669.368,200.832,-12.484,37.597,1.243,0.401,1.115e-7,0.002,6.288e-5
19.657,6921.425,662.315,-670.713,200.208,-12.482,37.536,1.138,0.344,1.111e-7,0.005,7.046e-5
19.707,6931.42,663.624,-672.055,199.583,-12.514,37.487,0.865,0.172,1.108e-7,0.008,1.044e-4
19.757,6941.384,664.932,-673.397,198.957,-12.525,37.447,0.71,0.057,1.111e-7,0.009,1.592e-4
19.807,6951.316,666.238,-674.737,198.331,-12.536,37.416,0.559,0.042,1.111e-7,-0.009,1.592e-4
19.857,6961.217,667.544,-676.076,197.704,-12.535,37.39,0.474,0.115,1.113e-7,-0.008,4.493e-5
19.907,6971.086,668.848,-677.415,197.077,-12.558,37.371,0.273,0.229,1.113e-7,-0.007,1.243e-6
19.957,6980.924,670.152,-678.752,196.448,-12.585,37.364,0.057,0.401,1.114e-7,-0.004,-4.829e-6
20.007,6990.731,671.456,-680.09,195.819,-12.549,37.359,0.123,0.344,1.113e-7,-4.775e-4,-1.037e-5
20.057,7000.506,672.76,-681.428,195.192,-12.539,37.355,0.064,0.344,1.112e-7,0.003,-1.403e-5
20.107,7010.25,674.063,-682.765,194.567,-12.48,37.348,0.222,0.286,1.113e-7,0.006,-6.474e-6
20.157,7019.963,675.366,-684.102,193.944,-12.404,37.331,0.466,0.115,1.113e-7,0.007,4.545e-5
20.207,7029.645,676.669,-685.439,193.326,-12.34,37.303,0.653,0.044,1.113e-7,-0.008,1.592e-4
20.257,7039.295,677.97,-686.774,192.71,-12.288,37.267,0.792,0.172,1.115e-7,-0.007,7.256e-5
20.307,7048.916,679.269,-688.108,192.097,-12.242,37.224,0.908,0.229,1.114e-7,-0.005,5.437e-5
20.357,7058.505,680.568,-689.44,191.485,-12.218,37.178,0.92,0.229,1.119e-7,-0.003,4.773e-5
20.407,7068.064,681.864,-690.77,190.876,-12.176,37.129,1.026,0.344,1.12e-7,-3.183e-4,4.429e-5
20.457,7077.593,683.158,-692.099,190.267,-12.174,37.08,0.935,0.286,1.114e-7,0.002,4.506e-5
20.507,7087.091,684.451,-693.426,189.659,-12.152,37.033,0.946,0.286,1.113e-7,0.005,4.665e-5
20.557,7096.559,685.743,-694.752,189.051,-12.171,36.99,0.759,0.172,1.113e-7,0.007,6.096e-5
20.607,7105.996,687.032,-696.076,188.442,-12.18,36.955,0.627,0.055,1.114e-7,0.007,9.86e-5
20.657,7115.403,688.321,-697.399,187.832,-12.214,36.931,0.375,0.115,1.114e-7,-0.007,-2.106e-7
20.707,7124.779,689.609,-698.722,187.222,-12.202,36.912,0.351,0.172,1.115e-7,-0.006,-1.787e-5
20.757,7134.125,690.897,-700.044,186.612,-12.194,36.896,0.305,0.172,1.116e-7,-0.004,-2.597e-5
20.807,7143.44,692.184,-701.365,186.003,-12.175,36.881,0.311,0.172,1.119e-7,-0.003,-3.47e-5
20.857,7152.725,693.47,-702.686,185.394,-12.149,36.865,0.345,0.172,1.12e-7,-0.002,-4.367e-5
20.907,7161.98,694.755,-704.006,184.788,-12.121,36.847,0.386,0.115,1.118e-7,-4.775e-4,-4.45e-5
20.957,7171.204,696.04,-705.326,184.183,-12.081,36.825,0.485,0.046,1.118e-7,1.592e-4,-4.154e-5
21.007,7180.398,697.324,-706.644,183.579,-12.061,36.8,0.484,0.043,1.118e-7,4.775e-4,-4.315e-5
21.057,7189.562,698.608,-707.962,182.976,-12.044,36.777,0.477,0.046,1.118e-7,9.549e-4,-4.985e-5
21.107,7198.696,699.89,-709.279,182.375,-11.999,36.75,0.598,0.054,1.118e-7,-7.958e-4,6.126e-5
21.157,7207.8,701.171,-710.595,181.776,-11.979,36.72,0.605,0.057,1.118e-7,-4.775e-4,5.847e-5
21.207,7216.873,702.451,-711.91,181.178,-11.927,36.685,0.761,0.172,1.117e-7,6.366e-4,5.855e-5
21.257,7225.917,703.73,-713.224,180.583,-11.902,36.647,0.796,0.229,1.115e-7,0.002,5.894e-5
21.307,7234.932,705.008,-714.536,179.988,-11.873,36.605,0.851,0.286,1.112e-7,0.004,5.86e-5
21.357,7243.916,706.284,-715.847,179.394,-11.883,36.565,0.727,0.172,1.11e-7,0.006,7.074e-5
21.407,7252.871,707.558,-717.157,178.8,-11.884,36.531,0.646,0.115,1.109e-7,0.007,8.504e-5
21.457,7261.796,708.832,-718.465,178.206,-11.901,36.502,0.496,0.019,1.109e-7,-0.007,1.592e-4
21.507,7270.692,710.104,-719.772,177.61,-11.91,36.48,0.387,0.115,1.109e-7,-0.007,-2.005e-6
21.557,7279.557,711.376,-721.079,177.014,-11.924,36.464,0.259,0.229,1.108e-7,-0.005,-1.73e-5
21.607,7288.393,712.647,-722.386,176.418,-11.919,36.453,0.209,0.286,1.11e-7,-0.004,-2.381e-5
21.657,7297.199,713.918,-723.692,175.824,-11.869,36.439,0.358,0.115,1.113e-7,-0.002,-3.958e-5
21.707,7305.976,715.188,-724.997,175.23,-11.865,36.422,0.303,0.172,1.111e-7,-0.001,-3.858e-5
21.757,7314.722,716.458,-726.302,174.637,-11.865,36.409,0.228,0.229,1.111e-7,4.775e-4,-3.958e-5
21.807,7323.439,717.728,-727.607,174.044,-11.867,36.4,0.142,0.344,1.113e-7,0.002,-4.374e-5
21.857,7332.127,718.997,-728.911,173.451,-11.827,36.391,0.232,0.229,1.112e-7,0.004,-4.324e-5
21.907,7340.784,720.265,-730.215,172.86,-11.806,36.379,0.241,0.229,1.113e-7,0.006,-5.329e-5
21.957,7349.413,721.533,-731.518,172.271,-11.752,36.364,0.398,0.057,1.111e-7,0.007,-7.315e-5
22.007,7358.012,722.801,-732.821,171.685,-11.683,36.338,0.628,0.115,1.11e-7,-0.007,3.699e-5
22.057,7366.581,724.067,-734.123,171.103,-11.611,36.3,0.884,0.401,1.11e-7,-0.005,4.81e-5
22.107,7375.122,725.332,-735.423,170.524,-11.572,36.253,0.988,0.458,1.114e-7,-0.002,4.919e-5
22.157,7383.634,726.595,-736.721,169.946,-11.518,36.199,1.171,0.63,1.118e-7,0.001,5.048e-5
22.207,7392.117,727.856,-738.018,169.372,-11.483,36.137,1.261,0.745,1.119e-7,0.006,5.227e-5
22.257,7400.571,729.115,-739.312,168.797,-11.498,36.078,1.12,0.63,1.114e-7,0.011,5.386e-5
22.307,7408.996,730.371,-740.604,168.222,-11.526,36.026,0.925,0.458,1.11e-7,0.014,5.994e-5
22.357,7417.393,731.626,-741.895,167.644,-11.571,35.987,0.662,0.172,1.11e-7,0.016,8.346e-5
22.407,7425.761,732.88,-743.184,167.065,-11.605,35.958,0.468,0.007,1.111e-7,-0.016,7.958e-4
22.457,7434.099,734.133,-744.473,166.483,-11.657,35.941,0.203,0.286,1.11e-7,-0.015,-2.198e-5
22.507,7442.409,735.386,-745.762,165.899,-11.714,35.939,0.068,0.516,1.111e-7,-0.013,-3.218e-5
22.557,7450.689,736.639,-747.05,165.313,-11.734,35.945,0.187,0.688,1.112e-7,-0.009,-3.532e-5
22.607,7458.94,737.892,-748.339,164.726,-11.726,35.955,0.199,0.688,1.111e-7,-0.005,-3.957e-5
22.657,7467.162,739.145,-749.628,164.139,-11.735,35.968,0.292,0.745,1.108e-7,-6.366e-4,-3.904e-5
22.707,7475.354,740.399,-750.918,163.553,-11.718,35.982,0.288,0.745,1.103e-7,0.004,-4.055e-5
22.757,7483.517,741.653,-752.208,162.968,-11.675,35.995,0.195,0.688,1.105e-7,0.008,-3.937e-5
22.807,7491.651,742.908,-753.498,162.386,-11.615,36.001,0.036,0.516,1.109e-7,0.012,-3.92e-5
22.857,7499.756,744.163,-754.789,161.808,-11.511,35.994,0.304,0.172,1.108e-7,0.014,-1.845e-5
22.907,7507.832,745.417,-756.079,161.234,-11.417,35.971,0.625,0.172,1.107e-7,-0.014,7.151e-5
22.957,7515.879,746.67,-757.368,160.665,-11.346,35.934,0.861,0.458,1.105e-7,-0.012,5.583e-5
23.007,7523.898,747.921,-758.655,160.1,-11.283,35.885,1.073,0.688,1.108e-7,-0.009,5.091e-5
23.057,7531.889,749.171,-759.941,159.537,-11.239,35.828,1.208,0.802,1.112e-7,-0.004,5.012e-5
23.107,7539.852,750.418,-761.225,158.975,-11.23,35.767,1.186,0.802,1.112e-7,4.775e-4,5.101e-5
23.157,7547.787,751.664,-762.506,158.413,-11.247,35.712,1.045,0.688,1.112e-7,0.005,5.531e-5
23.207,7555.693,752.907,-763.786,157.851,-11.259,35.662,0.93,0.573,1.112e-7,0.008,5.844e-5
23.257,7563.572,754.149,-765.064,157.287,-11.3,35.621,0.691,0.286,1.112e-7,0.01,6.957e-5
23.307,7571.422,755.39,-766.341,156.721,-11.327,35.591,0.523,0.115,1.112e-7,0.012,1.028e-4
23.357,7579.244,756.629,-767.616,156.154,-11.344,35.568,0.403,0.016,1.112e-7,-0.012,3.183e-4
23.407,7587.038,757.868,-768.892,155.587,-11.352,35.55,0.326,0.115,1.112e-7,-0.011,-1.414e-6
23.457,7594.803,759.107,-770.166,155.019,-11.339,35.533,0.337,0.115,1.113e-7,-0.011,-2.414e-5
23.507,7602.539,760.344,-771.44,154.452,-11.35,35.518,0.252,0.229,1.113e-7,-0.01,-4.163e-5
23.557,7610.248,761.582,-772.714,153.884,-11.377,35.51,0.104,0.401,1.11e-7,-0.009,-4.348e-5
23.607,7617.928,762.819,-773.987,153.315,-11.382,35.506,0.044,0.458,1.111e-7,-0.007,-4.326e-5
