# Time (s),Altitude (m),Position East of launch (m),Position North of launch (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Lateral velocity (m/s),Lateral acceleration (m/s²),Angle of attack (°),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s)
60.397,7975.198,1182.062,-1209.225,-40.558,0.086,4.626,0.094,72.25,1.111e-7,0.039,3.183e-4
60.897,7954.93,1180.422,-1207.577,-40.514,0.087,4.673,0.146,71.906,1.111e-7,0.039,3.183e-4
61.397,7934.684,1178.761,-1205.908,-40.471,0.09,4.746,0.295,71.047,1.111e-7,0.039,3.183e-4
61.897,7914.46,1177.061,-1204.2,-40.426,0.094,4.893,0.433,70.245,1.111e-7,0.039,3.183e-4
62.397,7894.258,1175.297,-1202.428,-40.379,0.083,5.109,0.109,72.135,1.111e-7,0.039,3.183e-4
62.897,7874.079,1173.486,-1200.607,-40.337,0.083,5.164,0.036,72.594,1.111e-7,0.039,3.183e-4
63.397,7853.921,1171.661,-1198.774,-40.296,0.084,5.182,0.107,72.135,1.111e-7,0.039,3.183e-4
63.897,7833.784,1169.824,-1196.928,-40.254,0.083,5.235,0.049,73.052,1.111e-7,0.039,3.183e-4
64.397,7813.667,1167.982,-1195.076,-40.212,0.083,5.211,0.012,72.823,1.111e-7,0.039,3.183e-4
64.897,7793.572,1166.146,-1193.23,-40.171,0.084,5.205,0.129,73.51,1.111e-7,0.039,3.183e-4
65.397,7773.497,1164.322,-1191.397,-40.129,0.083,5.14,0.003,72.766,1.111e-7,0.039,3.183e-4
65.897,7753.443,1162.509,-1189.575,-40.087,0.088,5.141,0.321,74.656,1.111e-7,0.039,1.592e-4
66.397,7733.41,1160.725,-1187.78,-40.044,0.081,4.981,0.02,72.88,1.111e-7,0.039,3.183e-4
66.897,7713.398,1158.97,-1186.016,-40.003,0.081,4.971,0.101,73.396,1.111e-7,0.039,3.183e-4
67.397,7693.407,1157.226,-1184.262,-39.963,0.082,4.921,0.181,71.734,1.111e-7,0.039,3.183e-4
67.897,7673.436,1155.475,-1182.502,-39.921,0.081,5.012,0.068,72.365,1.111e-7,0.039,3.183e-4
68.397,7653.485,1153.702,-1180.719,-39.881,0.082,5.045,0.024,72.938,1.111e-7,0.039,3.183e-4
68.897,7633.555,1151.926,-1178.932,-39.84,0.083,5.033,0.103,73.396,1.111e-7,0.039,3.183e-4
69.397,7613.646,1150.16,-1177.157,-39.798,0.084,4.982,0.128,72.021,1.111e-7,0.039,3.183e-4
69.897,7593.758,1148.393,-1175.379,-39.756,0.09,5.046,0.352,70.76,1.111e-7,0.039,3.183e-4
70.397,7573.891,1146.583,-1173.559,-39.711,0.082,5.222,0.116,73.453,1.111e-7,0.039,3.183e-4
70.897,7554.046,1144.752,-1171.718,-39.67,0.085,5.164,0.257,74.255,1.111e-7,0.039,1.592e-4
71.397,7534.221,1142.954,-1169.91,-39.627,0.081,5.035,0.058,72.422,1.111e-7,0.039,3.183e-4
71.897,7514.418,1141.173,-1168.12,-39.587,0.081,5.065,0.042,72.536,1.111e-7,0.039,3.183e-4
72.397,7494.634,1139.384,-1166.321,-39.546,0.082,5.086,0.063,72.422,1.111e-7,0.039,3.183e-4
72.897,7474.872,1137.585,-1164.512,-39.505,0.082,5.117,0.103,72.193,1.111e-7,0.039,3.183e-4
73.397,7455.129,1135.772,-1162.689,-39.464,0.081,5.168,0.04,72.536,1.111e-7,0.039,3.183e-4
73.897,7435.407,1133.946,-1160.853,-39.424,0.083,5.188,0.19,71.677,1.111e-7,0.039,3.183e-4
74.397,7415.705,1132.1,-1158.997,-39.383,0.08,5.284,0.027,72.594,1.111e-7,0.039,3.183e-4
74.897,7396.024,1130.234,-1157.121,-39.342,0.08,5.297,0.084,73.281,1.111e-7,0.039,3.183e-4
75.397,7376.363,1128.374,-1155.251,-39.302,0.081,5.255,0.159,73.682,1.111e-7,0.039,3.183e-4
75.897,7356.722,1126.535,-1153.402,-39.262,0.079,5.176,0.107,73.396,1.111e-7,0.039,3.183e-4
76.397,7337.101,1124.719,-1151.577,-39.222,0.079,5.122,0.069,73.167,1.111e-7,0.039,3.183e-4
76.897,7317.5,1122.919,-1149.767,-39.183,0.079,5.088,0.103,72.193,1.111e-7,0.039,3.183e-4
77.397,7297.918,1121.116,-1147.954,-39.143,0.078,5.14,0.074,73.224,1.111e-7,0.039,3.183e-4
